name,country,query,url,phones,emails
باب مصفح تركي ساده,ليبيا,باب مصفح تركي للبيع في ليبيا,https://akaratalhadba.com/product/باب-مصفح-تركي-ساده/,"2010010589, 2033922127",contact@akaratalhadba.com
ابواب الأمان في الاردن - شركة الصاحب وشاور التميمي ابواب امان,الاردن,باب امان تركي الاردن معارض,https://www.halabazaar.com/ar/show/agentproperties/319/48,"065523640, 0796867537, 0797527377, 30796867537",
باب خارجي صناعة تركية موديل 006 – شركة مركز اسطنبول التجاري – ابواب تركية خارجية,الاردن,شركة ابواب تركية الاردن,https://sharray.net/ads/باب-خارجي-صناعة-تركية-موديل-006-شركة-مركز/,"0967730527, 963967730527",
ابواب مصفحة تركية,الاردن,ابواب مصفحة تركية الاردن واتس,https://www.aielanat.com/ابواب-مصفحة-تركية/,"01017902000, 905366700804",
Ultralam Steel Door Series,العراق,steel door iraq importer,https://www.steeldoorwholesaler.com.tr/kategori/ultralam-steel-door-series,905053351891,info@steeldoorwholesaler.com.tr
Premium Steel Door,العراق,steel door iraq importer,https://www.petradoor.com/premium-steel-door-in-india/,"91623801188, 91859060262, 91907270444, 919538212136",
Commercial Hollow Metal Fire Rated Doors,افريقيا,site:alibaba.com steel door africa importer,https://www.bing.com/aclick?ld=e8i3eooZBEqL8ZgJyd9Sm1QjVUCUxMyTC2Y-eEZSCVpaOrZwMTJ3m2XzKB8p9rw1--Au1F2ghNYwJ_aMvgrRavNEi7IfvHP5tZDELNdfEdeSmsTSmk2DmAh280uAgJ1I39BaD8LGpaah-GslJnu9ulee_A7UjDSdlG1O5OINmn-7LLLp6WiB7907_-tOc9Y1SsHtqmIG97nBXVdYOLvrUNjHV2j,"3235300600, 3238922626, 8449992626",info@luxdoors.com
Commercial Hollow Metal Fire Rated Doors,مصر,steel door importer egypt,https://www.bing.com/aclick?ld=e8wkC7wyASWgLS7E-DjXOMxTVUCUxLvFB_ZYJV5UJbqPwGs_zNg_l1H_kFPn40cNDUKj268aJQo-C7SPYGzSa41GSd1hQ-LWWP3j6Rwu1wZusf_E6UtsnqHGqA6ECoUEv2Ss_zVPeKqyeicpNqs48bzDxvTjNtmyEa0vFe0irDS6PKcftw-_z2hvCd_e-AGwL2tuU9wAJ_YQYznjH4fakI5gZ6Y,"3235300600, 3238922626, 8449992626",info@luxdoors.com
Metal Doors,مصر,steel door importer egypt,https://metaldoors-eg.com/,01144500091,info@metaldoors-eg.com
Fire-Rated Steel Doors,مصر,steel door importer egypt,https://doors.hysec-eg.com/,01282223056,sales.team@hysec-eg.com
Medico Steel Door - Medico Factory is the first factory in Egypt to manufacture ,مصر,steel door importer egypt,https://medicosteeldoor.com/,"01094758888, 201005431710, 201010777095, 201094758888","info@medicosteeldoor.com, rawan.abdelrazek231@gmail.com, sales@medicosteeldoor.com"
Metal Doors - ISG,مصر,steel door importer egypt,https://www.isg-egy.com/metal-doors/,01026007171,
ابواب فولاذية مصفحة (خاصة),عام,موردين ابواب مصفحة في تركيا,https://inturkeyexport.com/steel-doors-special-make/,447488521825,info@inturkeyexport.com
ابواب مصفحة تركية   - قيصرية - تركيا,عام,موردين ابواب مصفحة في تركيا,https://tr.wseetk.com/262508/ابواب-مصفحة-تركية.html,"262508120, 905366700804",
Metal Door Manufacturer in Egypt,مصر,steel door importer egypt,https://www.mpswastikdoors.com/others/metal-door-manufacturer-in-egypt/,"919820628988, 919892171522",
Internal Doors_interior door_wooden door,افريقيا,armored door supplier south africa kenya,https://www.kkddoors.com/,8613858903277,sales@kkdgroup.com
Carbon Steel in Door Manufacturing: A Comprehensive B2B Guide,افريقيا,site:alibaba.com steel door africa importer,https://seller.alibaba.com/blogs/2026/southeast-asia/doors-windows/carbon-steel-door-manufacturing-guide-alibaba-b2b,"046097825, 649156247, 820704331",
Steel door manufacturer Istanbul,عام,best steel door manufacturer istanbul,https://www.europages.co.uk/companies/city-istanbul/steel-door-manufacturer.html,"1978100199, 1997200499, 2004100199, 2018200499, 5075100125",
Residential Wood Grain Garage Door Golden Supplier Metal 12 X 7 Garage Door Cust,المغرب,steel door importer morocco,https://www.zonledoors.com/residential-wood-grain-garage-door-golden-supplier-metal-12-x-7-garage-door-custom-insulated-sectional-garage-door-turkey.html,"377727587, 8613557317112, 8618587696, 8618587696286",catherine@zonledoors.com
FIRE DOORS,افريقيا,fire door distributor senegal ivory coast,https://www.amdoor.co.za/fire-doors,217014566,sales@amdoor.co.za
An Introduction To Fire Doors,افريقيا,fire door distributor senegal ivory coast,https://doorsonline.co.za/fire-doors/,"0683054568, 27683054568",
Metal Doors & Frames,افريقيا,metal door importer tanzania ethiopia,https://commercialdoorinc.com/metal-doors-frames/,57701605341,
Steel Door in Hyderabad,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/hyderabad/steel-door.htm,"919700318318, 919953717914",
Metal Door,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/indian-suppliers/metal-door.htm,"919700318318, 919953717914",
Steel Security Door Importers,مصر,steel door importer egypt,https://importer.tradekey.com/steel-security-door-importer.html,"01227286000, 201223341595, 247078685, 381943312, 38345553928, 772470391, 820637064","eg.sample@xyz.com, madi1962@gmail.com"
ابواب تركية خارجية – باب خارجي صناعة تركية موديل 001 – شركة مركز اسطنبول التجاري,الاردن,ابواب مصفحة تركية الاردن واتس,https://sharray.net/ads/ابواب-تركية-خارجية-باب-خارجي-صناعة-ترك-2/,"0967730527, 963967730527",
ابواب مصفحة ابواب داخلية,العراق,اسعار الابواب المصفحة في العراق,https://abwaboctober.blogspot.com/2016/10/blog-post_11.html,"01110289808, 103110086853247",
door turkey suppliers,عام,steel door turkey supplier whatsapp,https://www.alibaba.com/door-turkey-suppliers.html,010177216133,
ابواب فولاذية مصفحة (الترا),عام,موردين ابواب مصفحة في تركيا,https://inturkeyexport.com/steel-doors-ultra-paint/,447488521825,info@inturkeyexport.com
Hot Selling High Home Quality Steel Door Turkey Doors Security Entrance Exterior,عام,wholesale steel door turkey exporter,https://m.made-in-china.com/product/Hot-Selling-High-Home-Quality-Steel-Door-Turkey-Doors-Security-Entrance-Exterior-Doors-2225771115.html,140011500,
Chinese Doors in Kenya: Best WPC Wooden & Steel Door Supplier for Modern Homes,افريقيا,armored door supplier south africa kenya,https://www.zonledoors.com/chinese-doors-in-kenya-best-wpc-wooden-steel-door-supplier-for-modern-homes.html,"377727587, 8613557317112, 8618587696, 8618587696286",catherine@zonledoors.com
"20 reactions · 27 shares - ""Steel security doors with Anti-intrusion grill with ",افريقيا,armored door supplier south africa kenya,https://www.facebook.com/eurodoor.kenya/videos/steel-security-doors-with-anti-intrusion-grill-with-mosquito-meshhomesecuritydoo/1505672860511871/,0705656565,hello@eurodoor.co.ke
BLINDEES - 36 Annonces,المغرب,porte blindee maroc import turquie,https://www.algomtl.com/acheter/recherche-fournisseur-0-blindees.html,"212613747656, 212662150999, 32475237232, 5307721135, 8615831127175, 892430890, 903523114888, 903523213708, 903523221915, 905077523234, 905307721135, 905321346970, 905321686950, 905352832, 905372632885, 905424088616, 905533346136, 905545334550",senol@demir.eu
شركة زان لإستيراد الابواب المصفحة,مصر,وكيل باب مصفح تركي في مصر,https://zan-eg.com/,"01111555129, 011115551290111",info@zan-eg.com
Fire Doors in UAE,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/ae/fire-doors.htm,"919700318318, 919953717914",
Afol Industry Co.Ltd,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/afolindustry/,"919700318318, 919953717914",
أبواب تركية,المغرب,مستورد ابواب تركية الدار البيضاء,https://www.adwhit.com/ar/أبواب-تركية-281753,905558781226,
ابواب حديديه خارجيه منزلقه سحاب,مصر,تجار ابواب حديدية في مصر,https://doors-store.com/ابواب-حديديه-خارجيه-منزلقه-سحاب/,0595008118,ehostingstore@gmail.com
Leading Steel Door Suppliers in India,عام,best steel door manufacturer istanbul,https://kinzasteeldoor.com/,919072101088,kinzasteeldoors@gmail.com
Petra Steel Doors & Windows,عام,best steel door manufacturer istanbul,https://www.petradoor.com/,"91623801188, 91859060262, 91907270444",
Steel Door Turkey Manufacturers & Suppliers,عام,wholesale steel door turkey exporter,https://www.Made-in-China.com/manufacturers/steel-door-turkey.html,"201202304410, 201304304, 315011000",
Glossy PVC Surface Door Series,عام,wholesale steel door turkey exporter,https://www.steeldoorwholesaler.com.tr/kategori/glossy-pvc-surface-door-series,905053351891,info@steeldoorwholesaler.com.tr
الاعلانات المدللة ب 'صناعة تركية' (41),الاردن,شركة ابواب تركية الاردن,https://sharray.net/ad-tag/صناعة-تركية/,905453215658,
China Factory Turkish Armored Home Door Modern Entrance Front Metal Exterior Sec,عام,steel door factory turkey contact,https://www.zonledoors.com/china-factory-turkish-armored-home-door-modern-entrance-front-metal-exterior-security-steel-doors.html,"377727587, 8613557317112, 8618587696, 8618587696286",catherine@zonledoors.com
الابواب المصفحة في  مصر,مصر,معارض بيع الابواب في مصر,https://yellowpages.com.eg/ar/search/الابواب-المصفحة,"0225174847, 0226222639, 0226775495, 0227559944, 0236801398, 0237483802, 034253095, 0502256155",
ابواب مصفحة ابواب داخلية,ليبيا,ابواب مصفحة تركية ليبيا واتساب,https://abwaboctober.blogspot.com/,"01110289808, 103110086853247",
Free Search List of Importers & Buyers Globally,افريقيا,steel door importer ghana nigeria kenya,https://www.seair.co.in/steel-door-importers,919667735607,
SECURITY SOLUTIONS YOU CAN TRUST,افريقيا,armored door supplier south africa kenya,https://defendoor.co.za/,0860333363,
Steel doors in Agadir Morocco,المغرب,steel door importer morocco,https://www.directdoors.com/blogs/news/steel-doors-agadir-morocco,01968671681,info@directdoors.com
Africa Security Doors and Frame Single Iron Stainless Steel Office Front Door,افريقيا,safety door supplier west africa,https://eagledoor.en.made-in-china.com/product/BOJTWegZXuUY/China-Africa-Security-Doors-and-Frame-Single-Iron-Stainless-Steel-Office-Front-Door.html,7308300000,
Avansa Security Doors - Security Doors for Sale,افريقيا,safety door supplier west africa,https://avansa.co.za/collections/security-doors?srsltid=AfmBOooHjVTWIujZuZMhZ-_ZCdAOqHjbHZxG0ycysNfChM3JSpE6o6Ti,27870953333,"sales@avansa.co.za, security@avansa.co.za"
ابواب الامان 2025 التركية - احدث ابواب الامان التركية 2025 في الاردن - الصاحب شا,الاردن,وكيل ابواب تركية في الاردن,https://www.halabazaar.com/gatesofgrace/property/5fcbf5a05b2b6/ابواب-الامان-2025-التركية-احدث-ابواب-الامان-التركية-2025-في-الاردن-الصاحب-شاور-التميمي-لابواب-الامان-2025-,"065523640, 0796867537, 0797527377, 202507968675",
Morocco Bulletproof Main Front Entrance Security Steel Door for Commercial Resid,المغرب,steel door importer morocco,https://m.made-in-china.com/product/Morocco-Bulletproof-Main-Front-Entrance-Security-Steel-Door-for-Commercial-Residence-House-Building-109--2080321825.html,7308300000,
Fire rated front doors residential in Egypt - Best Price - Star Light,مصر,steel door importer egypt,https://starlight-egy.com/steel-doors/,"01220348885, 012203488850222, 02267106650122","info@starlight-egy.com, khaledelmesedy@starlight-egy.com, nasserelmsidy@starlight-egy.com"
Metal Doors,مصر,steel door importer egypt,https://www.metaldoors-eg.com/,01144500091,info@metaldoors-eg.com
Best Steel Door in Kerala: The Complete 2026 Buyer’s Guide,عام,best steel door manufacturer istanbul,https://www.petradoor.com/best-steel-door-in-kerala/,"91623801188, 91859060262, 91907270444, 919538212136",
Steel Door Turkey Exporters Suppliers & Manufacturers in Turkey,عام,wholesale steel door turkey exporter,https://turkey.tradekey.com/steel-door-turkey.htm,"133910521, 200820130829",eg.sample@xyz.com
Door Supplier in Nigeria – Buy HDF and Steel Doors,افريقيا,metal door dealer ghana nigeria cameroon,https://goltava.com/product/door-supplier-in-nigeria-buy-hdf-and-steel-doors/,08148576051,sales@goltava.com
Best stainless steel doors Nigeriastainless steel doors Nigeria suppliersstain,افريقيا,metal door dealer ghana nigeria cameroon,https://www.cngrandsea.com/stainless-steel-doors-nigeria_sp_2,"86075785619697, 8618688202143",lily@cngrandsea.com
ابواب تركية,عام,شركات تصدير ابواب تركية للعالم,https://inturkeyexport.com/turkey/ابواب-تركية/,447488521825,info@inturkeyexport.com
Top Steel Door Manufacturers,عام,best steel door manufacturer istanbul,https://jcfiredoor.com/top-steel-door-manufacturers/,"91780193869, 91851168556",jcfiredoor@gmail.com
ابواب خارجية حديد للبيع‏(14),العراق,ابواب حديد بغداد,https://iq.opensooq.com/ar/tags/ابواب-خارجية-حديد-للبيع,"077031494, 077032063, 077032187, 077054260, 077080064, 077111411, 077131301, 077135729, 077136565, 077137771, 077159496, 077225329, 077236639, 077266399, 077318338, 077326873, 077394698, 077486481, 077625953, 077626129, 077674358, 078021933, 078477415",
بيوت و منازل تركية جاهزة (مسبقة التصنيع),العراق,ابواب مصفحة تركية للعراق واتس,https://inturkeyexport.com/prefabricated-houses/,447488521825,info@inturkeyexport.com
Metal Door Manufacturer in Ethiopia,افريقيا,metal door importer tanzania ethiopia,https://www.mpswastikdoors.com/others/metal-door-manufacturer-in-ethiopia/,"919820628988, 919892171522",
Specialty Doors & Frames,الاردن,steel door importer jordan,https://titanmetalproducts.com/,"18668482667, 20962632851891, 8668482667, 940051010888, 953416404888, 953416406",info@titanmetalproducts.com
اخبار الاردن التجارية,الاردن,شركة ابواب تركية الاردن,https://inturkeyexport.com/turkey/اخبار-الاردن-التجارية/,447488521825,info@inturkeyexport.com
Fire Rated Doors in Cote Divoire Ivory Coast,افريقيا,fire door distributor senegal ivory coast,https://toshiautomation.co/fire-rated-doors/cote-divoire-ivory-coast,917669305054,
Steel Door Frames,افريقيا,site:exportersindia.com steel door africa,https://www.exportersindia.com/indian-suppliers/steel-door-frames.htm,"919700318318, 919953717914",
توريد ابواب امان 2025/2024 في الاردن للاستفسار 0796867537,الاردن,وكيل ابواب تركية في الاردن,https://www.halabazaar.com/ar/property/64ef0133444e6/توريد-ابواب-امان-2024/2023-في-الاردن-للاستفسار-0796867537,"065523640, 0796867537, 07968675370796, 0797527377",
Security Doors Importers,الاردن,steel door importer jordan,https://importer.tradekey.com/security-doors-importer.html,"01227286000, 3244177250, 38345553928, 545975179, 9383478540",eg.sample@xyz.com
Security Doors in Kumasi - Market Demand Features & Trusted Supplier Zonle,افريقيا,safety door supplier west africa,https://www.zonledoors.com/security-doors-in-kumasi-market-demand-features-trusted-supplier-zonle.html,"377727587, 8613557317112, 8618587696, 8618587696286",catherine@zonledoors.com
Safety and Homesolutions,افريقيا,safety door supplier west africa,https://www.sahsghana.com/?srsltid=AfmBOoq34505q5yZgmOj6eHhqgIQT12gqjT-pPWfXVPrcxmRxWfFp_H5,233270766662,
توريد وتركيب ابواب مصفحة ضد الاقتحام و السرقة 2025/2024 في الاردن 0796867537,الاردن,ابواب مصفحة تركية الاردن واتس,https://www.halabazaar.com/en/property/65872e809e756/توريد-وتركيب-ابواب-مصفحة-ضد-الاقتحام-و-السرقة-2025/2024-في-الاردن-0796867537,"065523640, 0796867537, 07968675370796, 0797527377",
THE UK'S LEADING INSTALLER OF STEEL DOORS,الاردن,steel door importer jordan,https://steeldoorcompany.co.uk/?srsltid=AfmBOoo9T-FwuOkCyhmHop632VW7CmUnDQujUUeoM0ucoEe92OpUbv8l,01785526016,sales@steeldoorcompany.co.uk
أبواب مصفحة تركي - Al Masrya doors,العراق,موزع ابواب مصفحة في بغداد,https://almasrya-doors.com/?page_id=3110,"01044095640, 010440956400104",
ابواب فولاذية مصفحة (ديلوكس),العراق,ابواب مصفحة تركية للعراق واتس,https://inturkeyexport.com/deluxe-steel-doors/,447488521825,info@inturkeyexport.com
